"TotalQ3","HelixesQ3","StrandsQ3","CoilsQ3","TestType","NumberOfStates"
0.335023205997858,0.340279555578311,0.404091864790555,0.295361273473449,Uniform Growth with Constant Helixes Number,7
0.300589075330239,0.417746147150684,0.32613617984797,0.19263773162542,Uniform Growth with Constant Helixes Number,8
0.311192431274545,0.530950796170191,0.283761927866731,0.147328275919247,Uniform Growth with Constant Helixes Number,9
0.297857907890039,0.475039680507911,0.311175804625586,0.147577001202172,Uniform Growth with Constant Helixes Number,10
0.291752945376651,0.282115611079822,0.405790069545528,0.241097707581976,Uniform Growth with Constant Helixes Number,11
0.299053909318101,0.27929957503456,0.385007278020378,0.270986195746798,Uniform Growth with Constant Helixes Number,12
0.300731881470903,0.329015411397266,0.415089762251334,0.219209882684575,Uniform Growth with Constant Helixes Number,13
0.380971081756516,0.171010188930418,0.177502830341258,0.655266757865937,Uniform Growth with Constant Helixes Number,14
0.329614423420207,0.277661154062772,0.330260391395763,0.371346847407039,Uniform Growth with Constant Helixes Number,15
