"TotalQ3","HelixesQ3","StrandsQ3","CoilsQ3","TestType","NumberOfStates"
0.364529113748352,0.291214470284238,0.179153342469925,0.517732188295165,Uniform Growth,1
0.334426400166563,0.4871834625323,0.340490330440079,0.213740458015267,Uniform Growth,2
0.3219342077868,0.358966408268734,0.257271204507385,0.327210559796438,Uniform Growth,3
0.328180303976681,0.132868217054264,0.266560073092736,0.510615458015267,Uniform Growth,4
0.314404191824554,0.348578811369509,0.268844221105528,0.311903625954198,Uniform Growth,5
0.283486015684642,0.373488372093023,0.243337901629359,0.235209923664122,Uniform Growth,6
0.316694427094177,0.548682170542636,0.247297091518197,0.174459287531807,Uniform Growth,7
0.307793740023596,0.416330749354005,0.345363179534034,0.204675572519084,Uniform Growth,8
0.317405788049136,0.307545219638243,0.232221714633775,0.369473600508906,Uniform Growth,9
0.344628357276702,0.303875968992248,0.364321608040201,0.365696564885496,Uniform Growth,10
0.337497397459921,0.304547803617571,0.376732145576367,0.342358460559796,Uniform Growth,11
0.304583940592685,0.231266149870801,0.399954317039744,0.311187977099237,Uniform Growth,12
0.376726351585814,0.425271317829457,0.317648850312167,0.370229007633588,Uniform Growth,13
0.357675758206676,0.405116279069767,0.515456068219887,0.238788167938931,Uniform Growth,14
0.319886876257894,0.251576227390181,0.478300593878483,0.289718511450382,Uniform Growth,15
0.343517940176279,0.332919896640827,0.275544388609715,0.387166030534351,Uniform Growth,16
